Original_Name,Scientific_Name,Common_Name
Hyparrhenia sp,Hyparrhenia sp,Thatching grass
Loudetia flavida,Loudetia flavida,Yellow loudetia
Andropogon chrysostachyus,Andropogon chrysostachyus,Golden-spiked beard grass
Andropogon chinensis,Andropogon chinensis,Chinese beard grass
Andropogon sp,Andropogon sp,Beard grass
Indigofera arrecta,Indigofera arrecta,Erect indigo
cenchris cilaris,Cenchrus ciliaris,Buffel grass
Trifolium semipilosum‚Ä†,Trifolium semipilosum,Kenya clover
Leucaena pulverulenta‚Ä†,Leucaena pulverulenta,Great leadtree
Trifolium semipilosum�,Trifolium semipilosum,Kenya clover
Leucaena pulverulenta�,Leucaena pulverulenta,Great leadtree
Guetmala,Tripsacum andersonii,Guatemala grass
vetch straw,Vicia sativa,Vetch straw
wheat short,Triticum aestivum,Wheat short
Maize Middling,Zea mays,Maize middling
Cottonseed cake,Gossypium hirsutum,Cottonseed cake
Sorghum Middling,Sorghum bicolor,Sorghum middling
